Name,Sail no.,Type,Design,Designer,Region
Matuku Moana,9582,Keelboat,Hanse 400,Judel/Vrolijk,Auckland
Maud,127,,,W Fife,
Maui,T3155,,,F de Joux,
Maui,T4016,,,Wallace/McNair,
Maureen II,845,,,R L Stewart,
Maurice LARG,T4287,Trailer Yacht,Seeker,Ramco,
Maverick,T1021,Trailer Yacht,,Jim Young,
Maverick,1629,Other,,J Lidgard,
Maverick,T4041,Trailer Yacht,Elliott 7,Greg Elliott,
Maverick II,T1980,,Caribou 17,F Pelin,
Mavis,199,,,W Fife,
Mawingo,4785,Keelboat,,D Ganley,
Max,8287,Keelboat,Light displacement cruiser,Mark Marsh,
Max Headroom,6107,Keelboat,Farr 1020,Bruce Farr,
Maximum,6726,,,D Senior,
Maximum Effort,T3259,,Young 780,Jim Young,
Maximus,99999,Keelboat,,Greg Elliott,
Maya,9439,Keelboat,Maid of Endor,John Atkin,
Maybelle,411,,,A Logan,
Maybird,326,,,F Shepherd,
Mayfair,M16,Keelboat,Rogers 46,Simon Rogers,
Mayflower,9534,Keelboat,Parker 325,Parker Yachts UK,
Mayhem,22411,Keelboat,TP52,Judel Vroliijk,
Maylee,2722,,Harmonic,H Wagstaff,
Mayling,5659,Keelboat,,A Warwick,
Mazeltov,5041,,Variant,Alan Wright,
Mazurka,4824,Keelboat,,B Birdsall,
Mcfarr,6899,,Farr 1220,Bruce Farr,
Mclaren Marine,T1357,,,Honey/Trethewey,
Mcleod,8226,Keelboat,Spencer 30,J Spencer,
Mcmoggy,7805,Multi-hull,,Jeff Schionning,
Mean Streak,4896,Keelboat,Ross 930,Murray Ross,
Meand'er,2493,Keelboat,Nova,Alan Wright,
Meantime,5689,Keelboat,Cavalier 39,Rob Salthouse,Nelson/Marlborough
Meantime,T246,,,R Hartley,
Mecca,5700,,Farr 1020,Bruce Farr,
Medallion,3879,,Marauder,Alan Wright,
Meddle,T3018,,,Wilcox,
Medeia,8027,Other,,R J Salthouse,
Media Luna,L1111,,,Alan Warwick,
Mediator,8130,,,B Roberts,
Medici,6616,,,A Warwick,
Medina,1175,Keelboat,,Woollacott,
Medium Dry,6284,Keelboat,Young 88,Jim Young,
Medtha,2241,,,R Hart,
Medusa,3034,,,L F Herreshoff,
Meegan,4402,,Camelot,R L Stewart,
Meerschaum,T349,,,Holloway,
Meerschaum,8445,,,Hartley,
Meg,T667,,Redwing,,
Megabyte,7446,,Trimaran,I Farrier,
Megastar,6595,Keelboat,Wirght,Alan Wright,
Mehart,T2654,,,R Hartley,
Meister,4645,Keelboat,Challenge 29,A Sedlmayer,Auckland
Mel J,T2202,,,T N Winter,
Melanie,5601,,,Alan Wright,
Melanion,1926,Other,Townson 32,D T Townson,
Melanion II,2049,Other,,H Wagstaff,
Melina,T3497,,Young 780,Jim Young,
Melinda,1085,Other,,Yachting World,
Melisande,3993,,,R Salthouse,
Melita,1110,,,E Cox,
Mellifluous,5192,Keelboat,Lotus 9.2,Alan Wright,
Mellow Yellow,T2416,,,P Whiting,
Mellow Yellow II,T2823,,,Honey/Trethewey,
Mellow Yellow II,T834,Trailer Yacht,Farr 5000,Bruce Farr,
Melly,T3587,,Quintet 6.0,Alan Wright,
Melodie,8918,Keelboat,Brandlmayr 32,John Brandlmayr,Auckland
Melodrama,T3414,,,TretheweyMarten,
Melody,238,,Young 88,Jim Young,
Melody,T417,,Sabre 22,A Scott,
Melody II,1079,,,A Burns,
Melody III,1455,,,J Spencer,
Melric,T1416,,,L Davidson,
Melric II,4637,Other,,R Hartley,
Meltdown,5886,Keelboat,Young 88,Jim Young,
Meltdown,7644,Multi-hull,,J Tetzlaff (8.5m Tri),
Meltemi,9378,Keelboat,Bavaria Vision 42,Bavaria-Farr,
Melting Pot,8291,Keelboat,Elliott 9,Greg Elliott,
Melting Pot,T3013,Trailer Yacht,Noelex 25,TretheweyMarten,
Memories,5460,,Davidson 28,L Davidson,
Memory,744,,,Harrison/Butler,
Memphis,6220,,Lotus 1280,Alan Wright,
Memphis Flyer,5341,,Tracker,Alan Wright,
Men At Work III,8653,Keelboat,,Steve Thompson,
Menace,T4175,Trailer Yacht,Ross 780,Murray Ross,Otago
Menace,40100,Keelboat,Melges 40,Botin Partners Naval Architecture,Auckland
Menage A Deux,7422,,,M Tennant,
Mene,6945,Keelboat,Davidson 28,L Davidson,Auckland
Menelik,1748,,,A Buchanan,
Mephisto,4666,Keelboat,Nimbus,Scott Knaufmann/Ladd (Nimbus 42),
Mer Cherie,T3097,,,Alan Warwick,
Merak,6475,,Farr 9.2,Bruce Farr,
Mercator,4182,,Tracker,Alan Wright,
Mercedes,267,,,,
Mercenary,5716,Keelboat,SR 26,Gary Lambert,Northland
Mercury Rising,4510,Keelboat,Stratus,Alan Warwick,
Merhaba,T89,,,McNair,
Meridancer,T1343,,,,
Meridian,614,,H 28,L F Herreshoff,
Meridian Passage,4969,,Whiting 45,P Whiting,
Merir,3712,,,L Davidson,
Merlin,205,,,Buchanan,
Merlin,7305,,,Jim Young,
Merlina,T1208,Trailer Yacht,Merlin,A Mummery,
Merlot,T4053,,Young 6,Jim Young,
Mermaid,T2190,Trailer Yacht,Cirrus 20,R Wilcox,
Merope,T1379,,,Alan Wright,
Merope,5959,,Noelex 30,Bruce Farr,
Merri-Lyon,T2221,,,,
Merrie Thoughte,T2615,Other,Davidson M20,L Davidson,
Merrijig,T517,,,Wallace McNair,
Merrimaid,8356,,,T Cookson,
Merrythought,5899,,,Bruce Farr,
Mertsi Louise,9580,Keelboat,,,
Mescalito,1939,,,Alan Wright,
Mesmerise,6275,Keelboat,Farr 1020,Bruce Farr,
Messina,2633,,Harmonic,H Wagstaff,
Metalica,T4224,Trailer Yacht,Hartley 16,Hartley,
Meteor,T3479,,Ross 780,Murray Ross,
Metric Measure,3954,,Townson 28,D T Townson,
Metro,5589,Other,Lotus 9.2,A Wright,
Mevagissey,T1752,,,Honey/Trethewey,
Mewsette,7085,Multi-hull,,Catamaran,
Mexican Joe,T2273,,Ventura,Owen Woolley,
Mic N Me,T3851,Trailer Yacht,Elliott 6.5,Greg Elliott,
Mica,5998,,,B Roberts,
Michaela,T763,,Monarch 17,Alan Wright,
Michelle,1659,,,R Hartley,
Michelle,T994,Trailer Yacht,Aquarius 22,Clive Jeffries,
Michelle II,3560,,,C Robertson,
Micro-Wave,T1254,,,Honey/Trethewey,
Microwave,3780,,,Bruce Farr,
Microwave,T164,,,P Whiting,
Midas,4857,,H 28,L F Herreshoff,
Midnight,8357,Keelboat,Davidson 45,L Davidson,
Midnight Blue II,1284,,,Thames Marine,
Midnight Blues,2418,,,P Atkinson,
Midnight Express,4334,Keelboat,Birdsall 39,B Birdsall,
Midnight Flyer,T2146,,,A Scott,
Midnight Lace,6320,Keelboat,,R Carpenter,
Midnight Miss,T3054,,Midnight 21,E Garrett,
Midnight Oil,5395,Keelboat,Davidson 35,L Davidson,
Midnight Oil II,6324,,Elliott 12,Greg Elliott,
Midnight Pumpkin,T2400,,,,
Midnight Rambler,O8338,Keelboat,Ker 40,Jason Ker,
Midnight Rambler,T3340,,,A Warwick,
Midnight Runner,5122,,Raven 26,Owen Woolley,
Midnight Special,9927,Keelboat,Compass H28,Herreshof,Auckland
Midnight Sun,5896,Keelboat,Lotus 1280,Alan Wright,
Midnight Wave,T3614,,,E Garratt,
Midship,T2063,,Caribou 17,F Pelin,
Midway,6027,,,Colin Childs,
Mieze,T4257,Trailer Yacht,Tasman 20,Allan Wright,
Miharo,5102,,,R Hartley,
Mihi,606,,,D J Somers,
Mikado,2261,,H 28,L F Herreshoff,
Milady,2503,Keelboat,Nova,Alan Wright,
Milady Explorer,9573,Keelboat,,Kruger Special,
Milani,T3042,,Hartley 16,R Hartley,
Milanion,1843,,,A Hooper,
Mildred,5561,,,Breekveldt,
Milford Magic,4540,,Marauder,Alan Wright,
Milim,4598,Keelboat,,Sparkman & Stephens,
Millenium Falcon,6201,Keelboat,Compass 790,H Wagstaff,Northland
Millennium,8596,Other,,ROBERTS,
Millennium Spirit,8675,Keelboat,Beneteau Oceanis 50,Bruce Farr,
Milovaig,1637,,,Cropp,
Mimic,3915,Keelboat,Nova,Alan Wright,
Mimu,9344,Keelboat,Jenneau 57,Briand,Bay of Plenty
Minaret,1414,Keelboat,Lidgard 38,J Lidgard,
Mind Over Matter,5328,,,Bruce Farr,
Mindanao,8469,Keelboat,,Rolf Magnusson,
Mindarie Of Hong Kong,9452,Multi-hull,Grainger 10.5,Tony Grainger,
Mindbender,5344,Keelboat,Young 88,Jim Young,Auckland
Minder,5844,,Noelex 30,Bruce Farr,
Minder,T1124,Trailer Yacht,,M Ross,
Mindset,8821,Multi-hull,Wildside,Rodger Simpson,Wellington
Minerva,732,,,Collings & Bell,
Minestrone,t1187,Trailer Yacht,Moonraker 23,Albert Sedlemeyer,
Mingles,4563,Keelboat,Alan Wright 32,A N Wright,
Mingulay,T1020,Trailer Yacht,,TretheweyMarten,
Mingus,L1042,,,,
Mini Bus,T2414,,,P Whiting,
Minika,5587,Keelboat,Marauder,Alan Wright,
Minikin,T154,,,Andrews/Bligh,
Minim,T2752,Trailer Yacht,Whiting 16,P Whiting,
Minimum Fuss,T3964,,,Trethewey,
Minka,5263,Keelboat,Mirage 30,M Elmes,
Minnie,4253,,,Lee,
Minos,4534,,Lotus 9.2,Alan Wright,
Minstral II,T3816,,,Trethewy/Honey,
Minstrel,1514,,Pied Piper,D T Townson,
Mint,4550,Keelboat,Farr 11.6,Bruce Farr,Auckland
Mintaka,T96,Trailer Yacht,Farr 6000,Bruce Farr,
Mintaka,9109,Keelboat,Beneteau 46,Berret Racoupeau,Auckland
Minty,T2495,,,J Brooke,
Minuet,962,Other,,Brohall,
Minuet I,671,Other,,B Seaborn,
Minuteman,T79,,,C Jefferies,
Minx,426,,Pied Piper,D T Townson,
Minx II,T3323,,Young 6,Jim Young,
Mirabelle,9266,Keelboat,,Finot-Conq & Associates(Oceanis 34),
Mirabilus,,Keelboat,,Finot,
Miracle,1604,,,O Woolley,
Mirador,T3543,,,Julian Everett,
Mirage,T897,,,F Pelin,
Mirage,662,,,K Atkinson,
Mirage II,5386,Keelboat,Farr 1020,Bruce Farr,
Miramar,8001,Keelboat,Beneteau,Phillipe Briand,
Miranda,T1818,Trailer Yacht,Coronet 20,J Brooke,
Miranda,T1341,,,R Hartley,
Miranda,T64,,,Honey/Trethewey,
Miranda,7312,,,L Crowther,
Miranda IV,T1547,,,,
Miro,251,,,W Bailey,
Miro,T1150,Trailer Yacht,Kestrel,McNair,
Miro,8715,Keelboat,Beneteau 43,Phillipa Briand,
Mis Behavin' Too,T401,,,L Davidson,
Mis'behavin,2844,,,L Davidson,
Mischief,927,,,B Woollacott,
Mischief,7192,,Trimaran,A Piver,
Mischief,T3958,Trailer Yacht,Farr 6000,Bruce Farr,
Mischief II,932,Keelboat,,George Dickson,
Mischief II,965,Other,Easterly,C Smith,
Mischief Maker,8255,Keelboat,Regardless,J Lidgard,
Mischka,T1600,,,F Pelin,
Misdemeanour,6698,,Davidson 35,L Davidson,
Misfits,T1032,Trailer Yacht,Farr 7.5,Bruce Farr,
Misguided Angel,7188,,,M Tennant,
Misha,6951,Keelboat,Raven 31,O Woolley,
Miss Adventure,T3164,,Hartley 16,R Hartley,
Miss American Pie,8527,,Catalina 28,Catalina Yachts,
Miss Anne,T902,,,R Hartley,
Miss Conduct,6551,,Townson 34,Des Townson,
Miss Jade,T26,Trailer Yacht,Coronet 20,J Brooke,
Miss Kathleen,9791,Keelboat,Pearson 424 Ketch,William Shaw,
Miss Match,8997,Keelboat,,Doug Peterson,
Miss Murphy,,Keelboat,Van Der Stadt Seal,E. G. van de Stadt,Bay of Plenty
Miss Murphy,T1666,,,F Pelin,
Miss Piggy,T1913,,,R Hartley,
Miss Scarlet,11000,Keelboat,IRC 52,Reichel/Pugh,
Miss Silver,9839,Keelboat,Dubois,Ed Dubois,
Miss Tress,T729,,,P Whiting,
Missee,T905,,,Bruce Farr,
Missee Lee,T4186,Trailer Yacht,Venturer,Owen Woolley,
Missy,T1811,,Quicksilver,Holloway,
Missy,4186,,,J Lidgard,
Mistake Not...,3058,Keelboat,Davidson 28,Laurie Davidson,
Mister Explorer Douglas,7092,Multi-hull,,A Piver,
Mister Judge,T602,,,Honey/Trethewey,
Mister Lucky,ORQ3600,Keelboat,Sun Fast 3600,Andrieu,
Mister Magoo,T2346,,,F Pelin,
Mistify,7455,,Turissimo 9,M Tennant,
Mistique,T872,Trailer Yacht,Farr 7500,Bruce Farr,Bay of Plenty
Mistletoe,4827,,Young 43,Jim Young,
Mistral,T914,Trailer Yacht,,Bruce Farr,
Mistral,1169,Other,,J Spencer,
Mistral II,T3010,,Farr 6000,Bruce Farr,
Mistral II,2813,,Cavalier 39,R Salthouse,
Mistral III,T2479,,,B Holloway,
Mistral IV,T3942,Trailer Yacht,Williams 7m,Jim Williams,Wellington
Mistress,T11,Trailer Yacht,Ventura,Owen Woolley,
Mistress,2007,Other,Townson 32,D T Townson,
Mistress II,1358,,,,
Mistress III,T4335,Trailer Yacht,Young 780,Jim Young,
Mistress Too,T2404,,,Bruce Farr,
Misty,T2699,,,Honey/Trethewey,
Misty,2607,,,D T Townson,
Misty,T1173,Trailer Yacht,Coronet 20,J B Brooke,
Misty,T4179,Trailer Yacht,Coronet 20,John Brooke,
Misty Blue,3028,,,L Davidson,
Misty Blue,T97,Trailer Yacht,,McNair,
Misty Blue II,T2929,,Pacer 24,Alan Wright,
Misty Blue III,T3875,Trailer Yacht,Rover 680,,
Misty Clipper,4230,Keelboat,Mercedes Clr,M Elmes,
Misty Dawn,8219,,,D & P Whiting,
Misty II,T3467,,,R Hartley,
Misty Jane,T3607,,Coronet 20,John Brooke,
Misty Rose,T3149,Other,,B Roberts,
Mit-E-Moose,T3767,,Caribou 20,F Pelin,
Mitch,T2852,,Farr 6000,Bruce Farr,
MITENA,5004,Keelboat,Chieftain 38,Cook Bros,
Mithril,1727,,Reactor,P Whiting,
Mititai,7403,Multi-hull,Catamaran,J Mitchell,
Mititai,T654,,,McNair,
Mix T Motions,8081,Keelboat,edlin,Richard edlin,
Mixed Spirit,6105,Keelboat,,Sparkman & Stephens,
Mizpah,T4067,,Elliott 7,Greg Elliott,
Mizpah,1231,Keelboat,,Jim Young,
Moala,804,,,F Lidgard,
Moana,9,Keelboat,,A Logan,
Moana Lani,9182,Keelboat,,Lhurs Marine,
Moana Marie,T172,,,R Hartley,
Moana Nui II,7207,,Trimaran,Piver,
Moana Rere,7062,Multi-hull,,A Piver,
Moana Te Rangatira,9779,Keelboat,Beneteau,Benetau,
Moananui,L1049,,,,
Moanaroa,3276,Keelboat,Chico 30,Gary Mull,
Mobisle,8817,Keelboat,,Robert Perry,
Moby Dick,1499,,Easterly,C Smith,
Moby Duck,5605,,Ross 35,Murray Ross,
Moccasin,4701,Keelboat,Tracker 77,Alan Wright,Northland
Mocean,3308,Keelboat,Harmonic,H Wagstaff,
Mod Beau Geste,O2047,Multi-hull,Mod 70,,
Mode,2580,,Cavalier 30,D Peterson,
Moderation Too,L1050,,,Jim Young,
Modus Vivendi,T219,Other,Noeleda,N Honey,
Moehau,3653,,,,
Moehau II,634,Keelboat,Pied Piper,D T Townson,
Moehewa,T1993,,Coronet 20,J Brooke,
Moemoea,4275,,,J Lidgard,
Moemoea,T2123,,,Honey/Trethewey,
Moera,562,,,Hartley,
Moeroa,2052,,,R Hume,
Moeroa,L1126,Launch,,,
Moet,L1825,,,,
Moggie Two,T1073,Trailer Yacht,,Honey/Trethewey,
Mohaka,2887,,Cavalier 36,D Peterson,
Mohua II,T2223,,,Bruce Farr,
Mojo,4280,Keelboat,Elliott 12,Elliott,
Mojo III,4120,Keelboat,Pacific 38,Allen C Smith,
Mokena,221,Keelboat,,J Lidgard,
Moki,9686,Keelboat,Esprit 37,Robert Perry,
Mokihi,7326,,,R Newick,
Moko,T3944,,,,
Mokoia,T1116,Trailer Yacht,Hartley 16,R Hartley,
Mokoia,1323,Keelboat,Unknown,Van De Stat,
Mokoia II,154,Keelboat,Camelot,R L Stewart,
Mokoia III,1853,,,D W Gallagher,
Mollie,1335,Keelboat,,Ganley,
Mollie Of Helford,8909,Keelboat,,Alan Pape,
Mollymawk,6326,Keelboat,Whiting 29,P Whiting,
Momentum,8288,Keelboat,Unknown,R Salthouse,
Momo-Taro,L1099,,,Rinker,
Mon Amie,9967,Keelboat,Beneteau Oceanis 461,Bruce Farr Yacht Design,
Mon Amigo,T119,,Monarch 17,Alan Wright,
Mon Amour,1942,,H 28,L F Herreshoff,
Mon Desir,5907,Keelboat,Carpenter 29,Rob Carpenter,
Mon Plaisir,9453,Keelboat,Unknown,Mark Lombard,
Mon-Amie,T2473,,Caribou 20,F Pelin,
Monarch,T559,,,Alan Wright,
Monarch 17,T1689,,,Alan Wright,
Monday Night,56718,Keelboat,TP52,Reichel/Pugh,Northland
Monde,L1575,,,J W Sharp,
Mondragon,6561,Keelboat,,Ray Beale,
Monet,6786,,,W R Townson,
Monet II,9061,Keelboat,,Lombard,
Money Pit,1121,,,Alan Wright,
Money Shot,9223,Keelboat,Shaw 650,Rob Shaw,
Monique,7187,,,Piver,
Monique,2864,,,R L Stewart,
Monique,T2,,,Alan Wright,
Monique II,T1369,,,R Hartley,
Monique III,6661,Keelboat,,L Davidson,
Monotone,9717,Keelboat,BR11,Robbie Roberts,Auckland
Monowai III,L1853,,,Saunders,
Monsoon,T1594,,,Alan Wright,
Monsoon,9913,Keelboat,Cascade 42,Robert A Smith,Auckland
Monsoon II,T3161,Trailer Yacht,Sabre 20,Alan Scott,
Montego Bay,3630,Other,,L Davidson,
Montego Bay II,1077,Keelboat,,M Simpson,
Montego Bay III,5477,Keelboat,Cutter,Mike Simpson,
Montel,1758,,,Alan Wright,
Monterey,L1501,,,Lidgard,
Monterey,2803,,,R Salthouse,
Montero,2030,Other,,R Hartley,
Montezuma,2571,Other,,F Pelin,
Monticello,T2029,,,L Davidson,
Montrachet,9229,Keelboat,Beneteau Oceanis 370,Finot-Conq & Associates,
Monty Python,6578,,H 28,Heroshoff,
Monu'ia,9081,Keelboat,,Group Finot Beneteau Oceanis,
Moocha,5804,Other,Shoalcraft,C Crook,
Moody Blew,T2193,,,B Roberts,
Moody Blue,8457,Other,,Bill Dixon,
Moody Blue,3834,Keelboat,Tracker,Alan Wright,
Moody Blue II,4678,,,B Roberts,
Moody Blue IV,8378,Keelboat,,R Beale,
Moody Blues,2339,,Reactor,P Whiting,
Moody Blues Too,2308,Other,,J Spencer,
Moody Le Mer,8451,Keelboat,,B Dixon,
Moomba,T1264,,,B Holloway,
Moon Bay Bus,4428,,,P Whiting,
Moon Bird,1446,,,R Hartley,
Moon Dance,T1938,Trailer Yacht,Trojan 750,A Warwick,
Moon Madj-Ic,T3624,,,,
Moon Magic,3986,Keelboat,Townson 34,D T Townson,
Moon Mist,3588,Other,C 10,D T Townson,
Moon Raider,T160,,,Moonraker Mar,
Moon Schott,T2769,,,Moonraker Mar,
Moon Shadow,2681,,,C Smith,
Moon Shadow X,,Launch,Maritimo,,
Moon Tide,6176,Keelboat,,Des Townson,
Moon Walker,3,Multi-hull,,M Tennant,
Moonbeam,3424,Keelboat,Townson 34,D T Townson,
Moonbow,2167,,,J Gladden,
Moonbow,7279,,,R Kemp,
Moondance,2089,Other,,J Brooke,
Moondance II,2705,Keelboat,,Robb,
Moondance Of Nelson,7623,Multi-hull,,Tony Smith,
Moondancer I,T2078,,Moonraker,A Sedlmayer,
Moondarra,T2355,,,A Mummery,
Moonduster,O849,Keelboat,,Sparkman & Stephens,
Moonfire,3065,,,Crooks,
Moonfish,9532,Multi-hull,Cyber Catamaran,Tim Mumby,
Moonfleet,688,Keelboat,,Sandy Jones,
Moongalba,752,,,H Butler,
Moonglow,8932,Keelboat,,Y L Sands,Bay of Plenty
Moonglow,6882,Keelboat,Endurance 40,Peter Ibold,Nelson/Marlborough
Moonlight,926,Other,Townson 32,D T Townson,
Moonlight,T605,,,E Garratt,
Moonlight Lady,6078,,Townson 9.2,D T Townson,
Moonlight Lady II,5580,Keelboat,,Chris G Martin,
Moonlight Mist,2533,,Townson 28,D T Townson,
Moonlight Shadow,T3215,,,,
Moonlight Star,4403,Keelboat,K,Dobson,Wellington
Moonraker,1607,,,Alan Wright,
Moonraker,T2071,,,R Hartley,
Moonraker II,3310,,,Sedlmayer,
Moonraker III,3577,,,A Sedlemayer,
Moonraker IV,3847,,,A Sedlemayer,
Moonriver,4017,Keelboat,H45,L F Herreshoff,
Moonshadow,9987,Other,,Dashew/Rogeberg,
Moonshadow,T606,,Sigrid,Nixon,
Moonshadow,T546,,Trojan 750,A Warwick,
Moonshadow III,981,,,D Lees,
Moonshadow X,,Launch,,,
Moonshine,1501,,Farr,Bruce Farr,
Moonshine,T2219,,,Moonraker Mar,
Moonshine Express,7295,,,M Tennant,
Moonshine Express,3830,Keelboat,,Mike Muir (Express 9mtr),
Moonshine Express,T3892,Other,,Muir/Tomkies,
Moonshine II,6927,,H 28,F Herreshoff,
Moonshine II,T2912,,Caribou 17,F Pelin,
Moonshine Magic,T3821,,Gazelle 24,T Adams,
Moonshiner,T3360,,Ventura,Owen Woolley,
Moonshyne,T1175,Trailer Yacht,Moonraker,Moonraker Mar,
Moonsong,6558,,,Des Townson,
Moonspinner,1331,,,Alan Wright,
Moonspinner II,3279,Keelboat,Townson 34,DT Townson,
Moonstone,4874,,,D T Townson,
Moonstruck,6963,,Whiting 29,Paul Whiting,
Moontide,T1045,Trailer Yacht,,J Walch,
Moonwatch,10055,Keelboat,Kaufman 48,Hank Kaufman,
Moorea,8591,Keelboat,,Kettenberg,
Morani,8170,,,Herreshoff,
More,T1743,,,Armstrong/Bligh,
Morela,T1358,,,,
Morepork,T252,,,R Hartley,
Morepork,8286,Other,Young 43,Jim Young,
Morgan Le Fay,T2826,,Merlin,A Mummery,
Morgana,5245,Keelboat,Townson 10,D T Townson,
Morning Calm,1222,Other,,Gladden,
Morning Cloud,8602,Keelboat,South Pacific 42,Robert Perry,
Morning Cloud II,6780,Keelboat,,Woolacott,
Morning Glory,4256,Keelboat,,Chris Lovegrove,
Morning Glory,9992,,,Reichel/Pugh,
Morning Light,7598,Multi-hull,,Roger Simpson (Roger Simpson 43),
Morning Light,2249,,Cavalier 39,R Salthouse,
Morning Mist,2061,Keelboat,Cavalier 39,Bob Salthouse,
Morning Ray,T3568,Trailer Yacht,,Trethewey/Mart,
Morning Sky,3875,,Mercedes Clr,M Elmes,
Morning Star,2671,,,L Davidson,
Morning Star II,9737,Keelboat,IOR 1 ton,Adams/Radford,
Morning Star VII,8903,Keelboat,,Markos 39,
Morning Tide,5152,Other,,R Salthouse,
Morobe,8119,,,B Roberts,
Moroccan Roll,T3446,,Elliott 5.9,Greg Elliott,
MORVARCH,10043,Keelboat,Golant Gaffer,Roger Dongray,
Morwena,T1731,,,Alan Wright,
Morwennol,1802,,,R Hartley,
Moselle,5197,,,M Dickson,
Moshulu,2240,,,P Whiting,
Mossie,3343,,Variant,Alan Wright,
Mostly Harmless,7642,,Catamaran,M Tennent,
Mot-The-Hoople,T2415,,,F Pelin,
Motamouse,4731,Keelboat,Pied Piper,D T Townson,
Mother Goose,T2100,,Sabre 20,A Scott,
Motion Picture,5678,,,A Wright,
Motivation,5148,,,A Mummery,
Motley Crue,7379,,,F Pelin,
Motorboat,5820,Keelboat,SR 26,Gary Lambert,Auckland
Motorboat II,641,Keelboat,Elliott 10.5,Greg Elliot,Auckland
Motu,7626,Multi-hull,Kelsall 35,Derek Kelsall,Nelson/Marlborough
Motutere,T532,,,Honey/Trethewey,
Mouette,4859,Other,Townson 8.8,D T Townson,
Moulin Rouge,T1168,Trailer Yacht,Aquarius 22,C Jeffrey,
Moulin Rouge II,T2058,Trailer Yacht,,R Hartley,
Mountain Dew,2040,Other,,Bruce Farr,
Moutere,422,,,,
Moutere,L1637,,,Shipbuilders,
Movida,6669,Keelboat,Townson 25,Des Townson,Canterbury
Movin Free,6722,,,Hartley,
Movin' On,3127,,Harmonic,H Wagstaff,
Moving Target,5448,,,G Elliott,
Moving Violation,8054,Keelboat,Elliott 7.9,Greg Elliott,Auckland
Mowai,7074,Multi-hull,,Arthur Piver,
Moxie,9733,Multi-hull,Catamaran,Jean Berret & Olivier Racoupeau,
Mr Boat,T739,Trailer Yacht,Caribou 17,Frank Pelin,Waikato/Thames
Mr Busby,2945,,H 28,L F Herreshoff,
Mr Chips,4622,,H 28,L F Herreshoff,
Mr Inbetween,T1593,Trailer Yacht,Gazelle Mk1,T Adams,
Mr Kamikaze,5932,Keelboat,Elliott 7.9,Greg Elliott,Auckland
Mr Kite,T2624,Trailer Yacht,,L Davidson,
Mr Kite II,16522,Keelboat,40ft Class,Andrew Cape,
Mr Kiwi,5556,,,L G Rolfe,
Mr Magoo,3702,,,L F Herreshoff,
Mr Piccolo,T2985,Other,,Bruce Farr,
Mr Roosevelt,5830,Keelboat,Davidson 42,L Davidson,
Mr Walker,6081,,,B Birdsall,
Mr Wolf,8456,Keelboat,Young 99,Jim Young,
MrBojangles,9811,Keelboat,lotus 10.6,Allan Wright,
Mrs Bojangles,T1446,,,,
Mrs Micawber,2988,Keelboat,,Bruce Farr,
Mrs Simpson,T1921,Trailer Yacht,Monarch 17,Alan Wright,
Mrx 1994,11994,Keelboat,Farr MRX,Bruce Farr,
Ms Sirikit,3718,,,L F Herreshoff,
Much Of Time,9562,Etchell,Tashiba 40,Robert Perry,Auckland
Muckle Flugga,7106,,Trimaran,A Piver,
Mud Pigeon,T539,Trailer Yacht,Midnight 21,E Garrett,
Muddy Water,8728,Keelboat,,Willian Garden,
Muddy Waters,6036,,,A Warwick,
Muddy Waters II,6769,,,D Lidgard,
Mudhoney,T4042,Trailer Yacht,Elliott 7.4,Greg Elliott,Auckland
Mudpuddler,T534,,Hartley 16,R Hartley,
Muffin,T564,,Trojan 750,A Warwick,
Muffin,4061,,,K Crooks,
Muffin II,T983,Trailer Yacht,,,
Muimai II,T28,,,R Hartley,
Mulberry,5313,Keelboat,,Gary Mull,
Mulled Wine,5487,,,Gary Mull,
Mullingar,4074,,,P Whiting,
Multi Choice,7416,,,R Given,
Mum's The Word,T2535,Trailer Yacht,Farr 6000,Bruce Farr,
Mumbo Jumbo,5280,Keelboat,Farr 727,Bruce Farr,
Munetra,1674,Other,Raven 26,Woolley,
Mungl,4774,,,Bird/Pearce,
Mungojerrie,T2771,Trailer Yacht,Hartley 16,R Hartley,
Mungojerrie,,Multi-hull,Alan Walker 16,Alan Walker,
Murare,1112,,,J Lidgard,
Murare II,1872,,,R Hartley,
Murex,T224,,,Pelin,
Murihiku,368,,H 28,L F Herreshoff,
Murihiku,T3007,,,Trethewey/Honey,
Murimanu,3370,Other,Townson 32,D T Townson,
Muritai,1357,Keelboat,,H Wagstaff,
Muritai,10034,Keelboat,H28,L F Herreshoff,
Muritai,T793,,Redwing,,
Muritai,T443,,Hartley 16,R Hartley,
Muritai II,3817,Other,,D T Townson,
Muritai III,3805,,,L F Herreshoff,
Muritai IV,8669,Keelboat,,Des Townson,
Muritai Too,T282,,Minetun,M Elmes,
Muritai V,9684,Keelboat,Lavranos Crossbow 40,Angelo Lavranos,
Muritonga,1461,,,M Cross,
Murphy's Law,5633,,Compass 790,H Wagstaff,
Murphys Law,T1120,Trailer Yacht,,McNair,
Murungaru,7664,Multi-hull,Prout 38,Prout,Bay of Plenty
Musca T,T3437,,Farr 6000,Bruce Farr,
Muscade,,Multi-hull,,,
Musetta,2604,,,P Atkinson,
Musetta,T1122,Trailer Yacht,,Davey,
Musette,3183,,,Alan Mummery,
Music,8246,,,D Ganley,
Music Man,3801,,,Dobson,
Musica II,T4048,Trailer Yacht,Redwing,Wallace McNair,
