Name,Sail no.,Type,Design,Designer,Region
Akeinano,500,Other,,J Spencer,
Akela,121,Other,,J Brooke,
Akera,9677,Keelboat,Hanse 418,Judel/Vrolijk,
Akina,T416,,,Owen Woolley,
Akita,610,,,R Hartley,
Akiwa,7216,,,R Hartley,
Akonga,9407,Keelboat,Dehler 41,Simonis Voogd,Auckland
Aku Aku,1078,,,,
Akubra,6074,,Farr 1220,Bruce Farr,
Al-Khadra,8626,,,A Lauranos,
Ala Shehr,T1692,,,Honey/Trethewey,
Alacalufe,8944,Keelboat,,Bavaria Yachts,
Aladdinsane,5765,,,P Atkinson,
Alar,6672,,,Roberts,
Alba,9673,Keelboat,Dufour 50,Umberto Felci,Waikato/Thames
Albacore,4104,,,C Robertson,
Albatross,T2315,,,Honey/Trethewey,
Albatross,848,,,Harrison Butler,
Albatross II,T2783,Trailer Yacht,Trailer Yachts,Moonraker,
Albatross IV,1244,,,W Endean,
Albert Flasher,3234,,,H Wagstaff,
Alberta Rose,5999,Keelboat,Farr 9.2,Bruce Farr,
Alberti,4712,,Davidson 35,L Davidson,
Albion,8156,,Tracker,Alan Wright,
Alby,604,,,L Davidson,
Alcatraz,5768,Keelboat,Grant Firth,G Firth,Auckland
Alcazar,6273,Other,,B Roberts,
Alcazar,T1653,,Young 5.7,Jim Young,
Alchemist,1405,Other,,J Spencer,
Alchemy,3093,Other,,Van de Stadt,
Alchemy,L295,,,Owen Woolley,
Alchemy,T648,Trailer Yacht,Young 6.7,Jim Young,
Alchemy II,T3597,Trailer Yacht,Noelex 25,Trethewey/Marten,
Alchemy III,T1714,,,Honey/Trethewey,
Alcheringa,2586,,,R Hartley,
Alchuringa,T2113,,,R Hartley,
Alcina,4293,,,R Hartley,
Alcyone,L1502,,,McGeady,
Alcyone,4713,Other,Davidson 28,L Davidson,
Aldebaran,9587,Keelboat,C & C,,
Alegre,10033,Keelboat,Soto 40,Javier Soto Acerbal,Auckland
Alegria,8691,,,J & J Design,
Alegria,T4198,Trailer Yacht,,Trevor Adam/ Phil Winter,
Alegrias,T1442,Trailer Yacht,Merlin 6.1,A Mummery,
Alesea,9464,Keelboat,Hanse 505,judel/vrolijk & Co,
Alethea,4329,,,Owen Woolley,
Alex'roma,T3104,,,F Pelin,
Alfresco,3227,Keelboat,Young 43,Jim Young,
Alhambra,T3815,Other,,J Brooke,
Alhena,1957,Keelboat,Raven 26,Owen Woolley,
Ali Cat,9757,Multi-hull,Nautitech Open 40,Marc Lombard,
Ali-Baba,2004,,Variant,Alan Wright,
Alias,T2506,,Pacer 24,Alan Wright,
Alibi,7516,Multi-hull,,Roger Hill,
Alibi,T3464,,,TretheweyMarten,
Alibi,1142,Other,,J Buick,
Alibi I,10117,Keelboat,Beneteau 320,Phillipe Briande,
Alibi II,2289,Other,,Ben Seaborn,
Alicante,3434,Other,,B Birdsall,
Alice,1322,Other,,Carl Alberg,
ALICE 11,10059,Multi-hull,Balticat 42,Schionning,
Alice Ambler,9760,Keelboat,Lightwave 48,,Bay of Plenty
Alida,4497,,,F Pelin,
Alien,7500,Multi-hull,Catamaran,M Tennant,Auckland
Alien II,T5217,Trailer Yacht,Thompson 650,Steve Thompson,Nelson/Marlborough
Aliquando,3071,,H 28,L F Herreshoff,
Alisa,L1458,,,,
Alisea,9438,Keelboat,,FINOT,
Aliseo,9794,Keelboat,Beneteau Oceanis 473,Groupe Finot,Auckland
Alishan,8079,Keelboat,Lotus 1280,Alan Wright,
Alison,5398,,,Ibold,
Aliz̩e,9950,Keelboat,Didi 40cr,Dudley Dix,
Alize,8986,Keelboat,KP44,Doug Peterson,Auckland
Alize,6704,Keelboat,Lotus 9.2,A Wright,Wellington
Alken,1456,,,Alan Wright,
Alkira,T18,,,R Hartley,
All Fired Up,T1199,,Ross 780,Murray Ross,
All-Hours,T3913,,Sigrid,D Nixon,
Allante,6053,,Carpenter 29,R Carpenter,
Allegresse,5206,Keelboat,Bruce Clark 42,Bruce Clark,
Allegretto,3429,,,L F Herreshoff,
Allegro,O6723,Keelboat,Warwick 67,Warwick,
Allegro,7353,,Turissimo 9,M Tennant,
Allegro,842,,Easterly,C Smith,
Allegro,T2214,,,,
Allegro II,T1461,,,D Nixon,
Allegro II,2796,,Harmonic,H Wagstaff,
Allergy,30,Other,,D Ganley,
Alley Cat,10104,Multi-hull,A Ocean,David De Villiers,
Alley-Kan,3628,,IOR 1/4 ton,P Whiting,
Alley-Oop,1952,Keelboat,,J Lidgard,
Allgo,5583,Keelboat,Ross 830,Murray Ross,
Alliage,4554,,Nova,Alan Wright,
Alligator,1426,Keelboat,Stiletto,J Spencer,
Allo Allo,T2766,,,Bruce Farr,
Allo Allo,6845,,,P Briand,
Allons Y,635,Keelboat,Serene,Des T Townson,
Allora,5706,Keelboat,Davidson 35,L Davidson,
Alluna,8799,Keelboat,,John Pugh,
Allure,9393,Keelboat,Oceanis 393,Berret Racoupeau (Beneteau 393 ),Auckland
Allure Of Nz,9322,Keelboat,Roberts 341,Bruce Roberts,
Almada,2752,,,J Gladden,
Almara,3843,,,Alan Wright,
Almarga,7051,Multi-hull,Trimaran,Piver,
Almero,9823,Keelboat,Athol Burns Design,Athol Burns,Auckland
Almost Perfect,8731,Keelboat,Lotus 9.2,,Auckland
Aloha,9856,Keelboat,Baltic Sirena 44,H.Soedergren,
Aloma,1810,,Pacific 38,C Smith,
Alona,679,Other,,Tord Sunden,
Alona II,8077,Other,,G Lidgard,
Alouette,2774,Other,H 28,L F Herreshoff,
Alouette,T808,,,TretheweyMarten,
Alouette II,T727,,,B Holloway,
Alouette II,9201,Keelboat,,Beneteau,
Alouette III,8642,,,Bruce King,
Alpha,2492,,,Adams,
Alpha,T788,,,R Hartley,
Alpha Centauri,3811,,Variant,Alan Wright,
Alpha Centauri II,4552,,,Hartley,
Alpha Centaurus,7297,,,L Jones,
Alstar,T840,,,F Pelin,
Altair,1048,Keelboat,,Cox,
Altair II,2178,Keelboat,,Cox,
Alter Ego,6791,Keelboat,Davidson 35,L Davidson,
Altezza,9888,Keelboat,Oceanis,Beret & Racoupeau,
Althea,8409,,,Bruce Clark,
Altisidora,4407,Keelboat,Marauder,Alan Wright,East Coast NI
Altocirrus,T137,,Cirrus 20,R Willcocks,
Altos,7390,,GBE cat,M Tennant,
Alvarado,2048,Other,Cavalier 32,R Salthouse,
Alyeska,T3873,,,TretheweyMartin,
Am Meer,8843,Keelboat,Bavaria 38,Bavaria,
Amadeus,3572,,,L Davidson,
Amadeus,T623,,,M Elmes,
Amadeus,L1003,,,F Pelin,
Amadeus,T3728,,,Trethway/Marten,
Amaia,3154,,,J Gladden,
Amalfi,8688,Keelboat,Unknown,J&J Slavenia,Auckland
Amalgam,2384,,,Gary Mull,
Amalia,9398,Keelboat,Hanse 445,Judel/Vrolijk & Co,Auckland
Amalthea,6465,,,R L Stewart,
Amaly,T479,,Hartley 16,R Hartley,
Amamaia,7018,Multi-hull,,A Piver,
Amanda,T1722,,,Honey/Trethewey,
Amanda,T111,Trailer Yacht,Hartley 16,R Hartley,
Amanda Jane,T906,,,Honey/Trethewey,
Amandla,7429,,,Hartley/Hoby,
Amanzi,T3769,,Joker 820,R Given,
